Url,RId,SId,LTId,TTId,LUId,Timestamp,Level,Server,Ip,Thread,Logger,Message,Exception,UserAgent
http://myazureqatest.o9solutions.com:9876/api/ibplquery/5502/ExecuteQuery,eea776fc-46bf-4173-8115-2cc6de964aa4,5502.677751,5502,5502,34546,2023-06-05T09:14:35.169Z,DEBUG,PythonServer,10.190.3.32,0,o9_sys_logger,"ran ['hdfs', 'dfs', '-chmod', '777', '/mnt/resource/o9_spark_temp/20230605_091244_c5899da9-6a91-4976-924d-163a683e40af_application_1685371380022_0036/output/out_df'] and got b'' with user livy",,
http://myazureqatest.o9solutions.com:9876/api/ibplquery/5502/ExecuteQuery,eea776fc-46bf-4173-8115-2cc6de964aa4,5502.677751,5502,5502,34546,2023-06-05T09:14:37.101Z,DEBUG,PythonServer,10.190.3.32,0,o9_sys_logger,"ran ['hdfs', 'dfs', '-put', '-f', '/mnt/resource/o9_spark_temp/20230605_091356_4028373e-fc8f-4b9a-a7ef-19ce79d3ecae_application_1685371380022_0036/output/out_df/out_df_2.csv', '/mnt/resource/o9_spark_temp/20230605_091244_c5899da9-6a91-4976-924d-163a683e40af_application_1685371380022_0036/output/out_df/out_df_2.csv'] and got b'' with user livy",,
http://myazureqatest.o9solutions.com:9876/api/ibplquery/5502/ExecuteQuery,eea776fc-46bf-4173-8115-2cc6de964aa4,5502.677751,5502,5502,34546,2023-06-05T09:14:37.101Z,DEBUG,PythonServer,10.190.3.32,0,o9_sys_logger,Changing permission of /mnt/resource/o9_spark_temp/20230605_091244_c5899da9-6a91-4976-924d-163a683e40af_application_1685371380022_0036/output/out_df/out_df_2.csv to 777,,
http://myazureqatest.o9solutions.com:9876/api/ibplquery/5502/ExecuteQuery,92cd3d23-6723-43bb-bf12-da7166746ee7,5502.677751,5502,5502,34546,2023-06-05T09:14:37.133Z,INFO,WebApi,10.4.96.60,62,o9.Framework.Common.Logging.FrameworkLogger,WebApi received the request: POST /api/ibplquery/5502/ExecuteQuery,,kibo
http://myazureqatest.o9solutions.com:9876/api/ibplquery/5502/ExecuteQuery,eea776fc-46bf-4173-8115-2cc6de964aa4,5502.677751,5502,5502,34546,2023-06-05T09:14:38.806Z,DEBUG,PythonServer,10.190.3.32,0,o9_sys_logger,"ran ['hdfs', 'dfs', '-chmod', '777', '/mnt/resource/o9_spark_temp/20230605_091244_c5899da9-6a91-4976-924d-163a683e40af_application_1685371380022_0036/output/out_df/out_df_2.csv'] and got b'' with user livy",,
http://myazureqatest.o9solutions.com:9876/api/ibplquery/5502/ExecuteQuery,eea776fc-46bf-4173-8115-2cc6de964aa4,5502.677751,5502,5502,34546,2023-06-05T09:14:38.806Z,INFO,PythonServer,10.190.3.32,0,o9_sys_logger,"Output o9_execution_status not found in configured output tables, skipping",,
http://myazureqatest.o9solutions.com:9876/api/ibplquery/5502/ExecuteQuery,eea776fc-46bf-4173-8115-2cc6de964aa4,5502.677751,5502,5502,34546,2023-06-05T09:14:38.806Z,INFO,PythonServer,10.190.3.32,0,o9_sys_logger,Cleaning up executor level temp folders,,
http://myazureqatest.o9solutions.com:9876/api/ibplquery/5502/ExecuteQuery,eea776fc-46bf-4173-8115-2cc6de964aa4,5502.677751,5502,5502,34546,2023-06-05T09:14:38.807Z,DEBUG,PythonServer,10.190.3.32,0,o9_sys_logger,cleaning up HDFS session directory /mnt/resource/o9_spark_temp/20230605_091356_4028373e-fc8f-4b9a-a7ef-19ce79d3ecae_application_1685371380022_0036,,
http://myazureqatest.o9solutions.com:9876/api/ibplquery/5502/ExecuteQuery,eea776fc-46bf-4173-8115-2cc6de964aa4,5502.677751,5502,5502,34546,2023-06-05T09:14:40.486Z,DEBUG,PythonServer,10.190.3.32,0,o9_sys_logger,HDFS session path /mnt/resource/o9_spark_temp/20230605_091356_4028373e-fc8f-4b9a-a7ef-19ce79d3ecae_application_1685371380022_0036 never used,,
http://myazureqatest.o9solutions.com:9876/api/ibplquery/5502/ExecuteQuery,eea776fc-46bf-4173-8115-2cc6de964aa4,5502.677751,5502,5502,34546,2023-06-05T09:14:40.487Z,DEBUG,PythonServer,10.190.3.32,0,o9_sys_logger,cleaning up local session directory /mnt/resource/o9_spark_temp/20230605_091356_4028373e-fc8f-4b9a-a7ef-19ce79d3ecae_application_1685371380022_0036,,
http://myazureqatest.o9solutions.com:9876/api/ibplquery/5502/ExecuteQuery,eea776fc-46bf-4173-8115-2cc6de964aa4,5502.677751,5502,5502,34546,2023-06-05T09:14:40.488Z,INFO,PythonServer,10.190.3.32,0,o9_sys_logger,MKL_NUM_THREADS is not set,,
http://myazureqatest.o9solutions.com:9876/api/ibplquery/5502/ExecuteQuery,eea776fc-46bf-4173-8115-2cc6de964aa4,5502.677751,5502,5502,34546,2023-06-05T09:14:40.488Z,INFO,PythonServer,10.190.3.32,0,o9_sys_logger,Starting script code execution on executor 3,,
http://myazureqatest.o9solutions.com:9876/api/ibplquery/5502/ExecuteQuery,eea776fc-46bf-4173-8115-2cc6de964aa4,5502.677751,5502,5502,34546,2023-06-05T09:14:40.488Z,DEBUG,PythonServer,10.190.3.32,0,o9_sys_logger,Reading slices for executor 3,,
http://myazureqatest.o9solutions.com:9876/api/ibplquery/5502/ExecuteQuery,eea776fc-46bf-4173-8115-2cc6de964aa4,5502.677751,5502,5502,34546,2023-06-05T09:14:40.488Z,DEBUG,PythonServer,10.190.3.32,0,o9_sys_logger,Setting sys log level to DEBUG,,
